name,latitude,longitude
千葉県柏市千代田三丁目,35.852295,139.975312
東京都渋谷区,35.6617773,139.7040506
東京都新宿区西新宿七丁目,35.694523,139.694547
大阪府門真市三ツ島二丁目,34.716727,135.590516
青森県平川市,40.618793,140.516429
大阪府富田林市甲田一丁目,34.495637,135.593345
岡山県岡山市北区表町二丁目,34.659919,133.928894
茨城県つくば市松代二丁目,36.073346,140.097338
福岡県福岡市中央区春吉三丁目,33.589294,130.404741
福岡県飯塚市新立岩,33.64887,130.687265
福岡県飯塚市新立岩,33.64887,130.687265
北海道札幌市北区北三十六条西十丁目,43.105954,141.332673
三重県多気郡多気町相可,34.496156,136.546149
福岡県久留米市荒木町白口,33.278067,130.48949
大阪府高槻市,34.8461585,135.6172716
愛知県名古屋市中村区名駅,35.173172,136.886961
大阪府大阪市北区大淀中一丁目,34.703958,135.487848
北海道札幌市豊平区月寒東三条十八丁目,43.019175,141.42078
東京都文京区春日二丁目,35.712772,139.741165
東京都文京区春日二丁目,35.712772,139.741165
東京都渋谷区道玄坂一丁目,35.656984,139.696083
東京都渋谷区道玄坂一丁目,35.656984,139.696083
東京都渋谷区道玄坂一丁目,35.656984,139.696083
東京都渋谷区,35.661777,139.704051
東京都渋谷区,35.661777,139.704051
東京都渋谷区,35.661777,139.704051
東京都渋谷区道玄坂一丁目,35.656984,139.696083
東京都渋谷区道玄坂一丁目,35.656984,139.696083
東京都渋谷区笹塚一丁目,35.672148,139.661966
大阪府大阪市中央区西心斎橋一丁目,34.672963,135.497644
東京都中央区,35.675285,139.766208
千葉県松戸市,35.7876491,139.903093
東京都渋谷区笹塚一丁目,35.672148,139.661966
埼玉県草加市,35.8253547,139.8054022
大阪府大阪市西区江之子島一丁目,34.683838,135.483748
大阪府大阪市西区江之子島一丁目,34.683838,135.483748
東京都中央区,35.675285,139.766208
東京都中央区,35.675285,139.766208
兵庫県姫路市駅前町,34.827623,134.690843
滋賀県高島市,35.339064,135.976546
福岡県福岡市西区野方一丁目,33.556237,130.308361
東京都千代田区神田佐久間町三丁目,35.698347,139.777639
愛知県豊田市,35.0823947,137.1562491
東京都渋谷区南平台町,35.653416,139.694818
東京都渋谷区,35.661777,139.704051
東京都品川区,35.6092261,139.7301861
福岡県北九州市小倉北区,33.8808817,130.8734191
福岡県糟屋郡新宮町美咲二丁目,33.703867,130.435385
京都府京都市,35.02284,135.757972
